nombre,distrito_id,distrito_nombre,departamento_id,departamento_nombre,tipo,lat,lon,observacion
Campo La Pepita,,,6,San Justo,,-31.96542400000000,-60.91384600000000,
Humberto Primo,,,8,Castellanos,,-30.86820899858190,-61.34799524135820,
4 de Febrero,1710,Elortondo,17,General López,Paraje,-33.80848060088853,-61.58322021536423,
A. Pini,105,Tostado,1,Nueve de Julio,Paraje,-29.075913034702943,-61.737485720442606,
Aarón Castellanos (Est. Castellanos),1729,Aarón Castellanos (Est. Castellanos),17,General López,Comuna,-34.33258752319966,-62.374187290888976,
Acebal,1613,Acebal,16,Rosario,Comuna,-33.241720760873754,-60.83655534380007,
Adolfo Alsina,901,Elisa,9,Las Colonias,Paraje,-30.759772351555515,-61.12117123379383,
Aguará Grande,706,Aguará Grande,7,San Cristóbal,Comuna,-30.11601510544555,-60.89087018574093,
Albarellos,1621,Albarellos,16,Rosario,Comuna,-33.24115903448936,-60.6362235830445,
Alberdi,1603,Rosario,16,Rosario,Paraje,-32.883041443471775,-60.69712014755242,
Alcorta,1902,Alcorta,19,Constitución,Comuna,-33.5407800507161,-61.12402314138881,
Aldao,810,Aldao,8,Castellanos,Comuna,-30.980428290609346,-61.74319574389846,
Aldao,1507,Aldao,15,San Lorenzo,Comuna,-32.70440588516459,-60.8158103483549,
Alejandra,403,Alejandra,4,San Javier,Comuna,-29.909408940479263,-59.82702608589228,
Alto Verde,1011,Santa Fe,10,La Capital,Localidad,-31.664476553515936,-60.70049052971232,
Álvarez,1611,Álvarez,16,Rosario,Comuna,-33.12965168477247,-60.80158226524025,
Alvear,1609,Alvear,16,Rosario,Comuna,-33.05809722730698,-60.61812307267897,
Ambrosetti,703,Ambrosetti,7,San Cristóbal,Comuna,-30.012953574029027,-61.57551772096789,
Amenábar,1731,Amenábar,17,General López,Comuna,-34.13236994131269,-62.42414790719093,
Andino,1405,Andino,14,Iriondo,Comuna,-32.669807756978386,-60.875454302764076,
Ángel Gallardo,1009,Monte Vera,10,La Capital,Localidad,-31.55481973438558,-60.6771795660139,
Angélica,837,Angélica,8,Castellanos,Comuna,-31.550645225631044,-61.54623590892679,
Angeloni,614,Angeloni,6,San Justo,Comuna,-30.85698634352286,-60.64938515797435,
Apeadero Leyes,1008,Arroyo Aguiar,10,La Capital,Paraje,-31.462053592851603,-60.674104120682415,
Apeadero Río Salado,1003,Llambi Campbell,10,La Capital,Paraje,-31.16451137317826,-60.8091739300031,
Arequito,1803,Arequito,18,Caseros,Comuna,-33.14641720101677,-61.47153739744749,
Arminda,1623,Arminda,16,Rosario,Comuna,-33.263838803024875,-60.9668175034519,
Armstrong,1306,Armstrong,13,Belgrano,Municipalidad,-32.78528556268222,-61.6033539647186,
Arocena,1110,Arocena,11,San Jerónimo,Comuna,-32.07776951213819,-60.973404062798814,
Aromos,1003,Llambi Campbell,10,La Capital,Paraje,-31.182697420414026,-60.62470643432717,
Arrascaeta Ñandubay,611,San Justo,6,San Justo,Paraje,-30.816935243676976,-60.32798993879048,
Arroyo Aguiar,1008,Arroyo Aguiar,10,La Capital,Comuna,-31.430041535668828,-60.66598502312125,
Arroyo Ceibal,314,Arroyo Ceibal,3,General Obligado,Comuna,-28.72407135698304,-59.47927369136174,
Arroyo La Muñeca,304,Villa Guillermina,3,General Obligado,Paraje,-28.162624252044424,-59.74648933443664,
Arroyo Leyes,1015,Arroyo Leyes,10,La Capital,Comuna,-31.56020280669384,-60.520352428706154,
Arroyo Seco,1618,Arroyo Seco,16,Rosario,Municipalidad,-33.15627714530849,-60.50938898601865,
Arrufó,711,Arrufó,7,San Cristóbal,Comuna,-30.232394100460976,-61.72795640795522,
Arteaga,1801,Arteaga,18,Caseros,Comuna,-33.09003011336997,-61.79073706180297,
Ascochinga,1009,Monte Vera,10,La Capital,Paraje,-31.474878531407242,-60.67316442744209,
Ataliva,812,Ataliva,8,Castellanos,Comuna,-30.996251045850872,-61.431969967327746,
