ciudad,departamento,POPULATION
Aarón Castellanos (Est. Castellanos),General López,236
Acebal,Rosario,4969
Aguará Grande,San Cristóbal,96
Albarellos,Rosario,253
Alcorta,Constitución,7450
Aldao (Est. Casablanca),Castellanos,1576
Aldao,San Lorenzo,587
Alejandra,San Javier,2962
Álvarez,Rosario,5417
Alvear,Rosario,2402
Ambrosetti,San Cristóbal,905
Amenábar,General López,1605
Ángel Gallardo,La Capital,856
Angélica,Castellanos,1298
Angeloni,San Justo,62
Arbilla,Rosario,427
Arequito,Caseros,6533
Arminda,Rosario,288
Armstrong,Belgrano,11181
Arocena,San Jerónimo,1608
Arroyo Aguiar,La Capital,751
Arroyo Ceibal,General Obligado,622
Arroyo Leyes,La Capital,2420
Arroyo Seco,Rosario,20620
Arrufó,San Cristóbal,1764
Arteaga,Caseros,3089
Ataliva,Castellanos,1680
Aurelia,Castellanos,113
Avellaneda (Est. Ewald),General Obligado,23341
Balneario La Verde,San Cristóbal,8
Balneario Monje,San Jerónimo,391
Barrancas,San Jerónimo,4650
Barrio Arroyo del Medio,Constitución,310
Barrio Caima,San Jerónimo,1655
Barrio Cicarelli,Iriondo,28
Barrio El Pacaá - Barrio Comipini,San Jerónimo,12
Barrio Mitre,Constitución,816
Barrios Acapulco y Veracruz,Castellanos,1790
Bauer y Sigel,Castellanos,290
Bella Italia,Castellanos,1070
Berabevú,Caseros,2225
Berna,General Obligado,629
Bernardo de Irigoyen (Est. Irigoyen),San Jerónimo,1566
Bigand,Caseros,4939
Bombal,Constitución,3137
Bouquet,Belgrano,1230
Bustinza,Iriondo,1098
Cabal,La Capital,54
Cacique Ariacaiquín,San Javier,142
Cafferata,General López,1449
Calchaquí,Vera,9651
Campo Andino,La Capital,313
Cañada de Gómez,Iriondo,29205
Cañada del Ucle,General López,698
Cañada Ombú,Vera,518
Cañada Rica,Constitución,641
Cañada Rosquín,San Martín,5008
Candioti,La Capital,888
Capitán Bermúdez,San Lorenzo,29218
Capivara,San Cristóbal,102
Carcarañá,San Lorenzo,16277
Carlos Pellegrini,San Martín,4971
Carmen,General López,1611
Carmen del Sauce,Rosario,531
Carreras,General López,1906
Carrizales (Est. Clarke),Iriondo,1041
Casalegno,San Jerónimo,158
Casas,San Martín,729
Casilda,Caseros,34703
Castelar,San Martín,614
Castellanos,Castellanos,226
Cavour,Las Colonias,137
Cayastá,Garay,3367
Cayastacito,San Justo,329
Centeno,San Jerónimo,2870
Cepeda,Constitución,349
Ceres,San Cristóbal,14499
Chabás,Caseros,6871
Chañar Ladeado,Caseros,5415
Chapuy,General López,571
Chovet,General López,2101
Christophersen,General López,499
Classon,Iriondo,484
Colmena,Vera,141
Colonia Ana,San Cristóbal,16
Colonia Belgrano,San Martín,908
Colonia Bicha,Castellanos,187
Colonia Bossi,San Cristóbal,111
Colonia Cello,Castellanos,118
Colonia Dolores,San Justo,502
Colonia Durán,San Javier,183
Colonia Margarita,Castellanos,269
Colonia Médici,Iriondo,13
Colonia Raquel,Castellanos,123
Colonia Rosa,San Cristóbal,562
Constanza,San Cristóbal,129
Coronda,San Jerónimo,16873
Coronel Arnold,San Lorenzo,857
Coronel Bogado,Rosario,2204
Coronel Fraga,Castellanos,330
Coronel Rodolfo S. Domínguez,Rosario,796
Correa,Iriondo,5792
Crispi,San Martín,267
Cuatro Esquinas,Rosario,174
Cululú,Las Colonias,97
Curupaytí,San Cristóbal,220
Desvío Arijón,San Jerónimo,946
Díaz,San Jerónimo,1721
Diego de Alvear,General López,1855
Egusquiza,Castellanos,279
El Arazá,General Obligado,550
El Caramelo,Rosario,155
Elisa,Las Colonias,1490
Elortondo,General López,5632
El Rabón,General Obligado,865
El Trébol,San Martín,11086
Emilia,La Capital,691
Empalme San Carlos,Las Colonias,125
Empalme Villa Constitución,Constitución,6241
Esmeralda,Castellanos,594
Esperanza,Las Colonias,40145
Estación Clucellas,Castellanos,782
Estación Saguier,Castellanos,105
Esteban Rams,Nueve de Julio,169
Esther,San Justo,41
Eusebia y Carolina,Castellanos,746
Eustolia,Castellanos,22
Felicia,Las Colonias,1788
Fighiera,Rosario,4034
Firmat,Constitución,28
Firmat,General López,19757
Florencia,General Obligado,5982
Fortín Olmos,Vera,1991
Franck,Las Colonias,5109
Fray Luis Beltrán,San Lorenzo,15176
Frontera,Castellanos,10520
Fuentes,San Lorenzo,2791
Funes,Rosario,23281
Gaboto,San Jerónimo,2788
Gálvez,San Jerónimo,19061
Garabato,Vera,995
Garibaldi,Castellanos,142
Gato Colorado,Nueve de Julio,998
General Gelly,Constitución,610
General Lagos,Rosario,3419
Gessler,San Jerónimo,857
Gobernador Crespo,San Justo,5335
Gödeken,Caseros,1652
Godoy,Constitución,1189
Golondrina,Vera,563
Granadero Baigorria,Rosario,36994
Gregoria Pérez de Denis (Est. El Nochero),Nueve de Julio,1358
Grutly,Las Colonias,545
Guadalupe Norte,General Obligado,654
Helvecia,Garay,5756
Hersilia,San Cristóbal,2780
Hipatia,Las Colonias,310
Huanqueros,San Cristóbal,665
Hughes,General López,4598
Humberto Primo,Castellanos,4751
Humboldt,Las Colonias,3999
Ibarlucea,Rosario,3698
Ibarlucea,San Lorenzo,30
Ingeniero Chanourdie,General Obligado,319
Intiyaco,Vera,1132
Irigoyen,San Jerónimo,950
Jacinto L. Aráuz,Las Colonias,106
Josefina,Castellanos,676
Juan Bernabé Molina,Constitución,1265
Juncal,Constitución,941
Kilómetro 101,Rosario,36
Kilómetro 115,Vera,182
Labordeboy,General López,928
La Brava,San Javier,329
La Cabral,San Cristóbal,161
